care_site_id,care_site_name,ward,room,bed,building,slug,bednumber,bay,sideroom,mortimer_market,waiting_room,RNTNE,ENT_ED,macmillan_cc,CHALF,POOL,tottenham_court_road,RLHIM,UCH,RESUS,MAJ,EDH,MINORS,patient_lounge,slug_room
286370614,ED^UCHED MAJORS04^04-MAJORS,ED,UCHED MAJORS04,04-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286370616,ED^UCHED OTF POOL^OTF,ED,UCHED OTF POOL,OTF,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER
286370618,T01^T01 SR54^SR54-54B,T01,T01 SR54,SR54-54B,UCH Tower,AMU,54B,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370620,T10M^T10M SR12^SR12-12,T10M,T10M SR12,SR12-12,UCH Tower,T10 - Medicine,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370622,T10M^T10M WAITING^WAIT,T10M,T10M WAITING,WAIT,UCH Tower,T10 - Medicine,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370624,T10M^T10M BY04^BY04-22,T10M,T10M BY04,BY04-22,UCH Tower,T10 - Medicine,22,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370631,ED^UCHED RAT03^RAT-03,ED,UCHED RAT03,RAT-03,UCH Tower,Emergency Department,03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,OTHER
286370633,ED^UCHED MAJORS07^07-MAJORS,ED,UCHED MAJORS07,07-MAJORS,UCH Tower,Emergency Department,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,MAJORS
286370635,EAU^UCH T00 EAU SR17^SR17-17,EAU,UCH T00 EAU SR17,SR17-17,NA,NA,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
286370637,EAU^UCH T00 EAU BY02^BY02-12,EAU,UCH T00 EAU BY02,BY02-12,NA,NA,12,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,
